,Seller ID,Seller Name,"City, State",Brands Offered,Product Categories,Average Rating,Number of Reviews,Total Sales,Average Order Value (₹),Response Time (hrs)
29,S149,Seller S149,"Mumbai, Maharashtra","['Mysore Silk Sarees', 'Havells', 'Manyavar']","['Electronics', 'Ethnic Wear', 'Appliances', 'Handicrafts', 'Kitchenware']",4.3,16.3,2.7,1077,24
30,S163,Seller S163,"Bengaluru, Karnataka","['Kanchipuram Saris', 'Pigeon', 'Lava Mobiles', 'Usha']","['Kitchenware', 'Appliances', 'Bakeware', 'Handicrafts', 'Accessories']",4.3,23.1,33.2,3777,9
31,S259,Seller S259,"Chennai, Tamil Nadu",['Havells'],"['Kitchenware', 'Bakeware', 'Appliances', 'Ethnic Wear', 'Handicrafts']",4.1,3.5,34.3,4273,17
32,S658,Seller S658,"Srinagar, J&K",['Havells'],"['Mobiles', 'Appliances', 'Clothing']",4.0,7.3,32.4,3718,14
33,S586,Seller S586,"Chennai, Tamil Nadu","['Kanchipuram Saris', 'Lava Mobiles']","['Kitchenware', 'Bakeware', 'Clothing', 'Home Decor', 'Mobiles']",4.4,21.4,34.8,1453,18
34,S341,Seller S341,"Bengaluru, Karnataka","['Mysore Silk Sarees', 'Kanchipuram Saris', 'Zebronics', 'Pigeon', 'Bajaj', 'Havells']","['Appliances', 'Mobiles', 'Electronics']",5.0,8.7,6.1,3885,12
35,S655,Seller S655,"Mumbai, Maharashtra","['boAt', 'Kanchipuram Saris', 'Lava Mobiles']","['Ethnic Wear', 'Electronics', 'Home Decor']",4.1,5.1,3.6,4964,17
36,S843,Seller S843,"Srinagar, J&K","['Mysore Silk Sarees', 'Lava Mobiles', 'Flipkart (in-house)', 'Kanchipuram Saris']",['Handicrafts'],4.2,18.3,2.3,4951,1
37,S431,Seller S431,"Chennai, Tamil Nadu","['Kanchipuram Saris', 'Havells', 'Flipkart (in-house)', 'boAt', 'Bajaj', 'Manyavar']","['Bakeware', 'Mobiles', 'Appliances', 'Kitchenware']",4.3,24.4,6.5,2991,10
38,S873,Seller S873,"Srinagar, J&K","['Prestige', 'Kanchipuram Saris', 'Pigeon', 'Usha']","['Ethnic Wear', 'Accessories', 'Appliances', 'Kitchenware', 'Home Decor']",4.1,19.0,49.6,3404,14
39,S629,Seller S629,"Bengaluru, Karnataka","['Lava Mobiles', 'Usha', 'Mysore Silk Sarees', 'Kanchipuram Saris', 'boAt', 'Flipkart (in-house)']","['Kitchenware', 'Ethnic Wear']",4.1,14.5,18.9,3791,6
40,S479,Seller S479,"Bengaluru, Karnataka","['Zebronics', 'Flipkart (in-house)']",['Bakeware'],5.0,14.5,42.8,3039,4
41,S433,Seller S433,"Chennai, Tamil Nadu","['Flipkart (in-house)', 'Manyavar']","['Appliances', 'Accessories', 'Handicrafts', 'Bakeware']",4.1,16.8,40.4,1029,13
42,S903,Seller S903,"Srinagar, J&K","['Lava Mobiles', 'Havells', 'Zebronics', 'Pigeon', 'Mysore Silk Sarees', 'Usha']","['Handicrafts', 'Mobiles']",4.6,5.1,40.4,2849,20
43,S877,Seller S877,"Bengaluru, Karnataka","['boAt', 'Bajaj', 'Kanchipuram Saris', 'Manyavar', 'Usha']","['Accessories', 'Mobiles', 'Bakeware', 'Home Decor']",4.8,8.9,21.5,1023,16
44,S900,Seller S900,"Chennai, Tamil Nadu",['Manyavar'],"['Electronics', 'Kitchenware', 'Home Decor']",4.8,3.5,7.9,2739,1
45,S150,Seller S150,"Srinagar, J&K","['Bajaj', 'Manyavar', 'Mysore Silk Sarees']","['Home Decor', 'Bakeware', 'Appliances', 'Handicrafts', 'Accessories']",4.8,5.1,26.6,3124,16
46,S830,Seller S830,"Delhi, NCR","['boAt', 'Manyavar', 'Pigeon']","['Bakeware', 'Kitchenware', 'Electronics']",4.7,17.5,35.1,4827,18
47,S774,Seller S774,"Srinagar, J&K","['Usha', 'Bajaj', 'Pigeon', 'Havells']","['Ethnic Wear', 'Electronics', 'Accessories', 'Appliances', 'Kitchenware']",4.7,22.1,22.2,4685,7
48,S460,Seller S460,"Bengaluru, Karnataka","['Lava Mobiles', 'Pigeon', 'boAt']","['Home Decor', 'Appliances']",4.7,9.3,20.3,2802,4
49,S564,Seller S564,"Delhi, NCR",['Lava Mobiles'],"['Bakeware', 'Home Decor', 'Ethnic Wear', 'Mobiles']",4.5,12.2,24.1,4841,20
50,S342,Seller S342,"Srinagar, J&K","['Bajaj', 'Havells', 'Kanchipuram Saris', 'boAt', 'Usha', 'Mysore Silk Sarees']","['Electronics', 'Appliances', 'Ethnic Wear', 'Kitchenware']",4.1,0.9,29.2,3578,12
51,S420,Seller S420,"Bengaluru, Karnataka","['Zebronics', 'boAt']","['Clothing', 'Accessories', 'Kitchenware', 'Electronics']",4.0,10.8,7.4,4664,19
52,S348,Seller S348,"Delhi, NCR","['Havells', 'Kanchipuram Saris', 'Lava Mobiles']","['Clothing', 'Home Decor', 'Bakeware']",4.5,21.3,33.4,1555,15
53,S146,Seller S146,"Mumbai, Maharashtra","['Pigeon', 'Mysore Silk Sarees', 'Lava Mobiles']","['Electronics', 'Mobiles', 'Kitchenware']",4.8,17.3,20.9,1058,8
54,S815,Seller S815,"Delhi, NCR","['Flipkart (in-house)', 'Pigeon', 'Prestige', 'Mysore Silk Sarees', 'Havells', 'Kanchipuram Saris']","['Accessories', 'Ethnic Wear', 'Electronics', 'Handicrafts']",4.5,22.9,26.7,1068,19
55,S846,Seller S846,"Bengaluru, Karnataka",['Zebronics'],"['Accessories', 'Home Decor', 'Appliances']",4.3,1.1,24.6,1643,7
56,S785,Seller S785,"Mumbai, Maharashtra",['Mysore Silk Sarees'],"['Appliances', 'Mobiles', 'Home Decor', 'Clothing', 'Handicrafts']",4.3,6.4,13.9,2225,6
57,S598,Seller S598,"Bengaluru, Karnataka",['Manyavar'],"['Ethnic Wear', 'Clothing', 'Home Decor']",4.3,4.1,32.7,3976,20
58,S640,Seller S640,"Delhi, NCR","['Bajaj', 'Kanchipuram Saris', 'Mysore Silk Sarees', 'Lava Mobiles']","['Electronics', 'Accessories', 'Kitchenware', 'Clothing', 'Mobiles']",4.1,5.3,4.2,3048,2
59,S866,Seller S866,"Bengaluru, Karnataka","['Flipkart (in-house)', 'Lava Mobiles', 'Prestige', 'Havells']",['Home Decor'],4.9,23.7,14.2,1445,23
60,S181,Seller S181,"Mumbai, Maharashtra","['Flipkart (in-house)', 'Havells', 'Kanchipuram Saris', 'Pigeon']","['Kitchenware', 'Handicrafts']",4.7,6.1,14.3,1542,13
61,S360,Seller S360,"Srinagar, J&K","['Bajaj', 'Kanchipuram Saris']",['Electronics'],4.9,1.8,36.8,2738,16
62,S583,Seller S583,"Delhi, NCR",['Flipkart (in-house)'],"['Accessories', 'Handicrafts']",4.4,10.0,20.3,3368,1
63,S720,Seller S720,"Delhi, NCR","['Prestige', 'Pigeon', 'Bajaj']","['Appliances', 'Handicrafts']",4.7,9.8,40.5,3499,12
64,S512,Seller S512,"Delhi, NCR","['Flipkart (in-house)', 'Bajaj', 'Usha', 'Havells']","['Kitchenware', 'Handicrafts']",4.1,3.5,41.6,1776,9
65,S611,Seller S611,"Delhi, NCR","['Kanchipuram Saris', 'Manyavar', 'Lava Mobiles', 'Mysore Silk Sarees']",['Appliances'],4.7,23.6,16.2,2055,14
66,S669,Seller S669,"Bengaluru, Karnataka",['Prestige'],['Clothing'],4.4,15.4,39.1,1649,19
67,S171,Seller S171,"Delhi, NCR","['Usha', 'Mysore Silk Sarees', 'Lava Mobiles', 'boAt']",['Appliances'],4.7,9.3,18.8,3148,4
68,S132,Seller S132,"Bengaluru, Karnataka",['Zebronics'],['Kitchenware'],4.8,9.9,20.6,4512,15
69,S393,Seller S393,"Delhi, NCR","['Zebronics', 'boAt', 'Manyavar']",['Ethnic Wear'],4.8,1.7,13.9,2953,1
70,S522,Seller S522,"Chennai, Tamil Nadu","['Flipkart (in-house)', 'Havells', 'Bajaj', 'Zebronics', 'Pigeon']",['Kitchenware'],4.6,15.8,20.8,2328,9
71,S583,Seller S583,"Chennai, Tamil Nadu","['Manyavar', 'Flipkart (in-house)', 'Zebronics', 'Bajaj']","['Mobiles', 'Kitchenware', 'Appliances']",4.1,18.1,17.9,4428,21
72,S174,Seller S174,"Bengaluru, Karnataka","['Prestige', 'Zebronics', 'boAt']","['Appliances', 'Accessories', 'Kitchenware']",4.1,11.8,46.8,1673,23
73,S822,Seller S822,"Bengaluru, Karnataka","['Kanchipuram Saris', 'Bajaj']","['Bakeware', 'Appliances']",4.8,20.0,34.5,2273,5
74,S176,Seller S176,"Bengaluru, Karnataka","['Havells', 'Pigeon']","['Home Decor', 'Accessories']",4.4,11.7,14.9,2025,7
75,S235,Seller S235,"Mumbai, Maharashtra","['Bajaj', 'Havells', 'Kanchipuram Saris', 'Prestige', 'Usha']","['Clothing', 'Mobiles', 'Handicrafts', 'Kitchenware', 'Bakeware']",4.9,16.0,15.7,2961,19
76,S430,Seller S430,"Srinagar, J&K","['Kanchipuram Saris', 'Bajaj', 'Manyavar']","['Appliances', 'Bakeware', 'Electronics', 'Handicrafts', 'Mobiles']",4.2,10.9,23.2,4802,14
77,S147,Seller S147,"Chennai, Tamil Nadu","['boAt', 'Lava Mobiles', 'Usha', 'Manyavar', 'Bajaj', 'Pigeon']","['Electronics', 'Ethnic Wear', 'Accessories', 'Bakeware']",4.5,18.0,36.8,2563,19
78,S844,Seller S844,"Chennai, Tamil Nadu","['Prestige', 'Usha', 'Bajaj', 'Flipkart (in-house)', 'Pigeon']","['Mobiles', 'Handicrafts']",5.0,6.8,40.3,2317,16
79,S139,Seller S139,"Chennai, Tamil Nadu",['Zebronics'],"['Clothing', 'Handicrafts', 'Home Decor', 'Appliances']",4.1,23.5,24.9,4458,19
80,S859,Seller S859,"Chennai, Tamil Nadu","['boAt', 'Pigeon', 'Mysore Silk Sarees', 'Zebronics']","['Home Decor', 'Clothing']",4.9,19.3,7.6,4141,10
81,S999,Seller S999,"Bengaluru, Karnataka","['Kanchipuram Saris', 'Pigeon', 'Zebronics', 'Usha', 'Mysore Silk Sarees', 'Prestige']","['Handicrafts', 'Accessories', 'Clothing', 'Ethnic Wear']",4.6,17.5,44.0,3291,13
82,S266,Seller S266,"Delhi, NCR","['Usha', 'Zebronics']",['Appliances'],4.2,3.2,31.6,2826,22
83,S304,Seller S304,"Delhi, NCR","['Mysore Silk Sarees', 'Lava Mobiles', 'Zebronics', 'Manyavar', 'boAt']",['Home Decor'],4.9,20.7,30.5,3068,6
84,S601,Seller S601,"Bengaluru, Karnataka","['Mysore Silk Sarees', 'Usha', 'Pigeon', 'Prestige']","['Mobiles', 'Appliances', 'Ethnic Wear', 'Home Decor']",4.3,23.6,25.3,2050,14
85,S517,Seller S517,"Mumbai, Maharashtra",['Havells'],"['Ethnic Wear', 'Handicrafts']",4.2,0.7,36.5,3575,24
86,S465,Seller S465,"Delhi, NCR","['Havells', 'Pigeon', 'Mysore Silk Sarees', 'Usha', 'Prestige']","['Handicrafts', 'Kitchenware', 'Mobiles', 'Electronics', 'Accessories']",4.3,1.9,1.9,2293,15
87,S725,Seller S725,"Srinagar, J&K","['Havells', 'Flipkart (in-house)', 'Pigeon', 'Zebronics']","['Bakeware', 'Kitchenware', 'Ethnic Wear', 'Clothing']",4.6,10.1,13.6,2703,9
88,S839,Seller S839,"Srinagar, J&K","['Prestige', 'Havells', 'Usha', 'Manyavar']","['Mobiles', 'Accessories']",4.9,2.4,17.3,4729,10
89,S403,Seller S403,"Bengaluru, Karnataka",['Zebronics'],"['Appliances', 'Bakeware', 'Ethnic Wear', 'Kitchenware', 'Electronics']",4.3,13.6,5.0,4155,15
90,S577,Seller S577,"Bengaluru, Karnataka","['Prestige', 'Kanchipuram Saris', 'Lava Mobiles', 'Manyavar', 'Bajaj', 'boAt']","['Home Decor', 'Ethnic Wear', 'Clothing']",4.2,16.5,16.2,2187,12
91,S103,Seller S103,"Mumbai, Maharashtra","['boAt', 'Prestige', 'Usha', 'Flipkart (in-house)', 'Havells', 'Kanchipuram Saris']","['Accessories', 'Bakeware']",4.4,1.1,37.9,3380,11
92,S182,Seller S182,"Mumbai, Maharashtra","['Pigeon', 'Usha', 'Havells', 'Mysore Silk Sarees', 'Flipkart (in-house)', 'Zebronics']",['Clothing'],4.2,22.0,10.2,3337,20
93,S452,Seller S452,"Srinagar, J&K",['Manyavar'],"['Appliances', 'Bakeware', 'Clothing', 'Ethnic Wear', 'Mobiles']",4.9,3.2,43.9,4398,2
94,S197,Seller S197,"Mumbai, Maharashtra",['Kanchipuram Saris'],['Clothing'],4.6,10.6,31.9,3815,1
95,S716,Seller S716,"Delhi, NCR","['Kanchipuram Saris', 'Zebronics']","['Bakeware', 'Mobiles', 'Home Decor', 'Appliances', 'Electronics']",4.6,18.3,21.6,2204,15
96,S364,Seller S364,"Chennai, Tamil Nadu","['Usha', 'Zebronics']","['Mobiles', 'Clothing']",4.9,12.5,24.2,3059,20
97,S646,Seller S646,"Delhi, NCR",['Prestige'],"['Accessories', 'Home Decor', 'Ethnic Wear', 'Bakeware', 'Mobiles']",4.8,0.7,31.9,2833,22
98,S529,Seller S529,"Srinagar, J&K","['Usha', 'Bajaj', 'Mysore Silk Sarees', 'Lava Mobiles', 'Flipkart (in-house)']",['Appliances'],4.9,20.7,42.1,1961,9
99,S357,Seller S357,"Chennai, Tamil Nadu","['Lava Mobiles', 'Usha']","['Appliances', 'Handicrafts', 'Accessories']",4.9,21.6,43.3,1775,12
100,S170,Seller S170,"Bengaluru, Karnataka","['Pigeon', 'Havells']","['Bakeware', 'Ethnic Wear', 'Home Decor']",4.3,2.9,4.8,3137,24
101,S644,Seller S644,"Mumbai, Maharashtra","['Bajaj', 'Manyavar', 'boAt']","['Home Decor', 'Handicrafts']",4.2,11.2,20.9,4819,9
102,S717,Seller S717,"Bengaluru, Karnataka","['Havells', 'Bajaj']","['Home Decor', 'Clothing', 'Handicrafts', 'Accessories']",4.9,21.0,15.7,4992,19
103,S804,Seller S804,"Delhi, NCR",['boAt'],"['Handicrafts', 'Home Decor', 'Kitchenware']",5.0,21.9,15.1,4185,19
104,S379,Seller S379,"Bengaluru, Karnataka","['Usha', 'Mysore Silk Sarees', 'Zebronics', 'Havells']","['Appliances', 'Mobiles', 'Electronics', 'Handicrafts']",4.7,14.6,32.6,1035,7
105,S853,Seller S853,"Mumbai, Maharashtra","['Flipkart (in-house)', 'Zebronics', 'Prestige']","['Mobiles', 'Home Decor']",4.3,1.5,19.1,3929,23
106,S704,Seller S704,"Chennai, Tamil Nadu","['Kanchipuram Saris', 'Mysore Silk Sarees', 'Bajaj']","['Ethnic Wear', 'Electronics']",5.0,12.4,44.7,2238,16
107,S701,Seller S701,"Delhi, NCR","['Usha', 'Havells', 'Lava Mobiles']","['Bakeware', 'Accessories', 'Home Decor', 'Clothing']",4.0,23.5,22.0,1426,15
108,S712,Seller S712,"Bengaluru, Karnataka","['boAt', 'Manyavar', 'Bajaj', 'Havells', 'Zebronics', 'Kanchipuram Saris']","['Home Decor', 'Mobiles']",4.0,1.7,24.5,4225,8
109,S275,Seller S275,"Bengaluru, Karnataka","['Usha', 'Manyavar', 'Prestige']","['Clothing', 'Handicrafts', 'Appliances', 'Ethnic Wear']",4.4,1.8,8.8,4384,10
110,S961,Seller S961,"Delhi, NCR","['Flipkart (in-house)', 'boAt', 'Pigeon', 'Lava Mobiles']","['Ethnic Wear', 'Bakeware']",4.8,16.7,1.9,1564,17
111,S536,Seller S536,"Delhi, NCR","['Havells', 'Manyavar', 'Bajaj', 'Usha']",['Home Decor'],4.4,22.9,42.6,4124,2
112,S261,Seller S261,"Chennai, Tamil Nadu","['Prestige', 'Bajaj', 'Flipkart (in-house)', 'Usha']","['Handicrafts', 'Appliances']",4.5,12.9,9.5,4256,21
113,S722,Seller S722,"Mumbai, Maharashtra","['Prestige', 'Pigeon', 'boAt', 'Flipkart (in-house)']",['Kitchenware'],4.8,14.2,25.1,1077,22
114,S938,Seller S938,"Srinagar, J&K","['Prestige', 'Zebronics', 'Usha', 'Kanchipuram Saris', 'boAt']","['Appliances', 'Home Decor', 'Electronics']",4.0,4.1,2.7,4063,19
115,S722,Seller S722,"Mumbai, Maharashtra","['boAt', 'Flipkart (in-house)', 'Pigeon', 'Havells', 'Manyavar']","['Kitchenware', 'Handicrafts']",4.3,8.8,19.8,4678,7
116,S273,Seller S273,"Bengaluru, Karnataka","['Kanchipuram Saris', 'Lava Mobiles', 'Prestige']","['Bakeware', 'Kitchenware', 'Accessories', 'Ethnic Wear']",4.6,2.7,31.7,4019,17
117,S510,Seller S510,"Srinagar, J&K","['Bajaj', 'Zebronics', 'Prestige', 'Usha', 'Manyavar']","['Appliances', 'Clothing', 'Kitchenware', 'Handicrafts', 'Home Decor']",4.9,5.2,7.5,2072,11
118,S800,Seller S800,"Srinagar, J&K","['Lava Mobiles', 'boAt', 'Zebronics']","['Handicrafts', 'Appliances', 'Ethnic Wear', 'Home Decor', 'Bakeware']",4.9,15.1,34.6,3894,11
119,S310,Seller S310,"Mumbai, Maharashtra","['Pigeon', 'Bajaj', 'Prestige', 'Usha', 'Mysore Silk Sarees']",['Handicrafts'],4.3,4.4,14.0,1939,22
120,S316,Seller S316,"Chennai, Tamil Nadu","['Pigeon', 'boAt']",['Home Decor'],4.9,23.7,34.9,2157,8
121,S994,Seller S994,"Bengaluru, Karnataka","['Mysore Silk Sarees', 'Pigeon', 'Lava Mobiles', 'Prestige', 'Havells']",['Home Decor'],4.5,8.2,28.7,3319,19
122,S963,Seller S963,"Bengaluru, Karnataka","['Prestige', 'Flipkart (in-house)']","['Handicrafts', 'Clothing']",4.2,1.5,34.8,2107,11
123,S761,Seller S761,"Chennai, Tamil Nadu","['Manyavar', 'Havells', 'Mysore Silk Sarees', 'Pigeon']","['Mobiles', 'Appliances']",4.5,14.3,2.2,4682,7
124,S308,Seller S308,"Bengaluru, Karnataka","['Lava Mobiles', 'Zebronics', 'Mysore Silk Sarees']","['Accessories', 'Clothing']",4.7,5.1,26.4,2720,22
125,S566,Seller S566,"Bengaluru, Karnataka","['Havells', 'Bajaj', 'Pigeon', 'Kanchipuram Saris', 'boAt', 'Zebronics']","['Kitchenware', 'Appliances']",4.5,20.5,47.4,2353,16
126,S619,Seller S619,"Delhi, NCR",['Flipkart (in-house)'],['Kitchenware'],4.8,9.4,10.5,4775,16
127,S896,Seller S896,"Mumbai, Maharashtra","['Bajaj', 'Kanchipuram Saris']",['Ethnic Wear'],4.0,19.2,9.6,2150,5
128,S682,Seller S682,"Chennai, Tamil Nadu",['Bajaj'],"['Electronics', 'Kitchenware', 'Home Decor', 'Appliances', 'Bakeware']",4.4,22.8,44.7,4882,1
129,S942,Seller S942,"Chennai, Tamil Nadu","['Havells', 'Pigeon', 'boAt']","['Clothing', 'Appliances', 'Accessories', 'Electronics', 'Kitchenware']",4.7,14.4,38.2,1062,24
130,S160,Seller S160,"Delhi, NCR","['Flipkart (in-house)', 'Pigeon', 'boAt', 'Usha', 'Prestige', 'Bajaj']","['Accessories', 'Clothing']",4.6,16.0,42.0,2685,9
131,S862,Seller S862,"Mumbai, Maharashtra","['boAt', 'Bajaj', 'Manyavar', 'Lava Mobiles', 'Havells', 'Zebronics']","['Clothing', 'Handicrafts', 'Appliances']",4.0,8.5,9.7,3884,15
132,S924,Seller S924,"Mumbai, Maharashtra",['Bajaj'],['Handicrafts'],4.5,21.4,15.7,2207,23
133,S337,Seller S337,"Delhi, NCR","['Pigeon', 'Manyavar', 'Zebronics', 'boAt', 'Usha']","['Ethnic Wear', 'Clothing', 'Bakeware']",4.8,13.0,13.9,2172,9
134,S104,Seller S104,"Delhi, NCR",['Prestige'],['Mobiles'],4.2,15.7,7.9,2819,2
135,S562,Seller S562,"Delhi, NCR","['Kanchipuram Saris', 'Manyavar', 'Lava Mobiles', 'Zebronics', 'Pigeon', 'boAt']","['Appliances', 'Ethnic Wear', 'Electronics', 'Home Decor', 'Accessories']",4.8,11.8,16.6,2108,19
136,S165,Seller S165,"Mumbai, Maharashtra","['Flipkart (in-house)', 'Havells', 'Manyavar', 'Bajaj']","['Appliances', 'Bakeware', 'Mobiles', 'Handicrafts']",4.8,6.5,1.5,2910,10
137,S672,Seller S672,"Srinagar, J&K","['Kanchipuram Saris', 'Flipkart (in-house)', 'boAt', 'Lava Mobiles', 'Prestige']","['Accessories', 'Kitchenware', 'Handicrafts']",5.0,17.0,42.5,3827,11
138,S164,Seller S164,"Delhi, NCR","['Prestige', 'Pigeon', 'Usha']","['Handicrafts', 'Bakeware']",4.8,9.9,40.2,2033,11
139,S990,Seller S990,"Mumbai, Maharashtra","['Usha', 'Flipkart (in-house)', 'boAt', 'Kanchipuram Saris', 'Manyavar']","['Ethnic Wear', 'Bakeware', 'Handicrafts', 'Accessories']",4.3,18.0,43.3,1820,22
140,S589,Seller S589,"Bengaluru, Karnataka","['Prestige', 'Bajaj']","['Electronics', 'Appliances']",4.6,15.3,38.1,1624,4
141,S709,Seller S709,"Bengaluru, Karnataka","['Usha', 'Bajaj', 'Pigeon', 'Prestige', 'Mysore Silk Sarees', 'Flipkart (in-house)']","['Bakeware', 'Accessories', 'Electronics', 'Mobiles', 'Kitchenware']",4.4,7.7,17.7,2751,24
142,S963,Seller S963,"Bengaluru, Karnataka","['Prestige', 'Pigeon', 'Bajaj', 'boAt', 'Usha']","['Accessories', 'Ethnic Wear', 'Bakeware', 'Kitchenware', 'Electronics']",4.9,8.2,30.7,4875,6
143,S568,Seller S568,"Bengaluru, Karnataka","['Usha', 'Lava Mobiles', 'Zebronics', 'Bajaj', 'Pigeon']","['Bakeware', 'Mobiles', 'Electronics']",4.4,10.1,15.8,4727,13
144,S682,Seller S682,"Chennai, Tamil Nadu","['Pigeon', 'Zebronics', 'Usha', 'Manyavar', 'Mysore Silk Sarees']","['Home Decor', 'Accessories', 'Electronics']",4.1,24.6,30.9,3310,10
